brand,j_type,rating_no_clean,rating,review_no_clean,review_num,price_no_clean,price
GUESS,Ladies Bracelet UBB20020-L  ,,,,,SAR 106.27,106.27
GUESS,Ladies Earrings UBE20031  ,5.0 out of 5 stars,5,1,1,SAR 84.91,84.91
GUESS,"Womens Stainless Steel Fashion Bracelet - UBB29029-L, Color Gold, Size L  ",3.0 out of 5 stars,3,1,1,SAR 130.00,130
Swarovski,Women's Angelic Collection Bracelets  ,4.7 out of 5 stars,4.7,231,231,SAR 613.04,613.04
GUESS,Ladies Bracelet UBB70047-S  ,,,,,SAR 139.22,139.22
GUESS,Basic Logo Hoop Earrings  ,4.0 out of 5 stars,4,96,96,SAR 54.13,54.13
GUESS,Heart Earrings Romance Ube70172 Rose Gold Plated Stainless Steel Heart Swarovski Logo  ,,,,,SAR 110.05,110.05
Swarovski,"EarringS for Women, 5468914  ",4.9 out of 5 stars,4.9,11,11,,
Swarovski,"Infinity Mini Pierced Earrings, White, Rhodium plated  ",4.6 out of 5 stars,4.6,175,175,SAR 287.39,287.39
GUESS,Women's Necklace UBN20026  ,5.0 out of 5 stars,5,1,1,SAR 103.36,103.36
Swarovski,"NO Regrets Necklace, Multi-Colored, Gold Plating,5457664  ",4.5 out of 5 stars,4.5,2,2,SAR 394.67,394.67
Swarovski,Women's Attract Crystal Jewelry Collection  ,4.6 out of 5 stars,4.6,141,141,SAR 265.49,265.49
Swarovski,"Women's Dazzling Swan Jewelry Collection, Blue Crystals, Pink Crystals, Clear Crystals  ",4.6 out of 5 stars,4.6,263,263,SAR 406.86,406.86
Swarovski,Duo Evil Eye Bangle - 5171991  ,4.5 out of 5 stars,4.5,70,70,SAR 386.31,386.31
GUESS,Ladies Bracelet UBB70070-S  ,,,,,SAR 109.74,109.74
GUESS,Women's Bracelet UBB28119-L  ,,,,,SAR 137.39,137.39
Swarovski,Women's Twist Row Crystal Necklace Jewelry Collection  ,4.4 out of 5 stars,4.4,134,134,SAR 392.16,392.16
GUESS,Ladies Bracelet UBB20071-L  ,,,,,SAR 130.81,130.81
Swarovski,"Louison Necklace, Small, White  ",5.0 out of 5 stars,5,1,1,SAR 317.41,317.41
GUESS,Earrings For Women by Guess - UBE21205  ,5.0 out of 5 stars,5,1,1,SAR 90.23,90.23
GUESS,Love Ear Studs UBE28046  ,3.0 out of 5 stars,3,9,9,SAR 127.43,127.43
