brand,j_type,rating_no_clean,rating,review_no_clean,review_num,price_no_clean,price
GUESS,Edgy Sparking Crystal Colored Glass Stone Statement Necklace  ,,,,,SAR 174.22,174.22
GUESS,Slider and Hinge Bangle Bracelet Set with Glass Stone Accents  ,,,,,SAR 125.69,125.69
GUESS,Edgy Sparking Emerald Colored Glass Stone Statement Necklace  ,,,,,SAR 227.34,227.34
GUESS,Edgy Sparking Siam Colored Glass Stone Statement Necklace  ,,,,,SAR 175.08,175.08
GUESS,Slider and Hinge Bangle Bracelet Set with Glass Stone Accents  ,,,,,SAR 125.69,125.69
GUESS,Glam Rectangle Glass Stone Bangle Bracelet  ,,,,,SAR 127.72,127.72
GUESS,Statement Chandalier with Circular Glass Stoned Cast  ,,,,,SAR 128.17,128.17
GUESS,Sparkling Rhinestone Choker Necklace  ,,,,,SAR 137.32,137.32
GUESS,Siam Baguette Stone and Rhinestone Choker Necklace  ,,,,,SAR 139.31,139.31
GUESS,Glam Rectangle Siam (Red) Glass Stone Bangle Bracelet  ,,,,,SAR 127.92,127.92
GUESS,Fuscia Flower Statement Stretch Ring  ,,,,,SAR 110.81,110.81
GUESS,Red Heart Fringe Dangle Rhinestone Earring  ,,,,,SAR 104.13,104.13
GUESS,Star and Lightning Bolt Linear Drop Earrings  ,,,,,SAR 98.20,98.2
GUESS,Linear Multi Shape Glass Stone Shaped Statement Earrings  ,,,,,SAR 151.09,151.09
GUESS,4 G Guess Logo Earring with Dangling Glass Stone and Plastic Pearl  ,,,,,SAR 99.14,99.14
GUESS,Blue Ombre Chandelier Tassel Earring  ,,,,,SAR 107.50,107.5
GUESS,4 G Guess Logo Earring with Dangling Glass Stone and Plastic Pearl  ,,,,,SAR 98.16,98.16
GUESS,Ombre Rhinestone Drop Earring: Light Green and Dark Green  ,,,,,SAR 107.46,107.46
GUESS,Linear Multi Shape Glass Stone Shaped Statement Earrings  ,,,,,SAR 150.41,150.41
GUESS,Rose Gold Metal Finish Ombre Rhinestone Drop Earring  ,,,,,SAR 108.74,108.74
GUESS,"Ombre Chandelier Tassel Earring: Aquamarine, Purple, Pink, Green  ",,,,,SAR 108.74,108.74
GUESS,Pink Ombre Chandelier Tassel Earring  ,,,,,SAR 108.85,108.85
GUESS,Heart Fringe Dangle Rhinestone Earring  ,,,,,SAR 104.24,104.24
GUESS,Star and Lightning Bolt Linear Drop Earrings  ,,,,,SAR 123.71,123.71
GUESS,Hinged Bangle with Stone Accents  ,,,,,SAR 140.89,140.89
GUESS,Stone Slider Close Duo Bracelet Set  ,,,,,SAR 157.07,157.07
GUESS,Two Row Dramatic Statement Necklace with Stones  ,,,,,SAR 167.40,167.4
GUESS,All Over Stone Choker  ,,,,,SAR 160.68,160.68
GUESS,Stone Long Pendant Necklace  ,,,,,SAR 184.39,184.39
GUESS,Four Row Dainty Necklace Set with Stone Accents  ,,,,,SAR 184.17,184.17
GUESS,Three Row Layered Necklace Including Y Neck  ,,,,,SAR 175.73,175.73
GUESS,Two Row Layered Look Necklace with Stone Accents  ,,,,,SAR 184.32,184.32
GUESS,Two Row Dramatic Statement Necklace with Stones  ,,,,,SAR 167.58,167.58
GUESS,Three Piece Dainty Bracelet Set  ,,,,,SAR 120.64,120.64
GUESS,All Over Stone Choker  ,,,,,SAR 160.26,160.26
GUESS,Fancy Chain Necklace with Multiple Charms  ,,,,,SAR 184.35,184.35
GUESS,Stone Slider Close Duo Bracelet Set  ,,,,,SAR 163.04,163.04
GUESS,Four Row Dainty Necklace Set with Stone Accents  ,,,,,SAR 137.02,137.02
Swarovski,5492249 Gold Plated Remix Collection Bee Strand Women's Bracelet  ,,,,,SAR 308.59,308.59
Swarovski,5511085 Gold-Tone Plated Crystal Remix Collection Swallow Multicolor Strand Women's Bracelet  ,,,,,SAR 347.43,347.43
Swarovski,5450926 Silver Rhodium Plated Louison Pendant Women's Necklace  ,,,,,SAR 519.73,519.73
Swarovski,5459064 Silver Sparkling Dance Key Pendant Rhodium Plated Women's Necklace  ,,,,,SAR 562.90,562.9
GUESS,Stone accented hoop  ,,,,,SAR 107.50,107.5
GUESS,clear stone linear earring  ,,,,,SAR 120.97,120.97
GUESS,Hinged Bangle with Starburst Stone Accents  ,,,,,SAR 154.07,154.07
GUESS,4 Strand Dainty Chain Necklace with Tiny Charms  ,,,,,SAR 149.17,149.17
GUESS,G logo ear with crystal drop  ,,,,,SAR 132.31,132.31
GUESS,6 on rainbow stone mixed ear set  ,,,,,SAR 119.55,119.55
GUESS,Hoop with starburst side detail  ,,,,,SAR 141.01,141.01
GUESS,Mini huggie hoop moon/star drop  ,,,,,SAR 110.69,110.69
GUESS,Paperclip Chain Necklace with Celestial Charms  ,,,,,SAR 110.39,110.39
GUESS,9 on mixed ear set with studs and drops  ,,,,,SAR 126.07,126.07
GUESS,Hoop with dainty pearl drape linear  ,,,,,SAR 132.31,132.31
GUESS,clear stone hoop  ,,,,,SAR 166.77,166.77
GUESS,pave heart shaped hoop  ,,,,,SAR 98.09,98.09
GUESS,3 on mixed ear set with linears and bar stud  ,,,,,SAR 98.16,98.16
GUESS,Faux zebra C hoops with logo  ,,,,,SAR 120.18,120.18
GUESS,"6 on mixed ear set with studs, drops and hoops  ",,,,,SAR 166.84,166.84
GUESS,3 on mixed hoop set  ,,,,,SAR 94.93,94.93
GUESS,Linear heart earring with pearl and crystal accents  ,,,,,SAR 132.30,132.3
GUESS,6 on clear stone mixed ear set  ,,,,,SAR 153.90,153.9
GUESS,Chain fringe linear earring with logo  ,,,,,SAR 153.83,153.83
GUESS,rainbow stone multi chain linear earring  ,,,,,SAR 141.01,141.01
GUESS,rainbow stone hoop  ,,,,,SAR 126.90,126.9
GUESS,Twist Chain Y Necklace with Tassel  ,,,,,SAR 197.04,197.04
GUESS,6 on colored stone mixed ear set  ,,,,,SAR 125.82,125.82
GUESS,Double hoop smooth and textured  ,,,,,SAR 123.74,123.74
GUESS,dainty mini hoop with linear drop  ,,,,,SAR 123.59,123.59
GUESS,Stone accented hoop  ,,,,,SAR 107.47,107.47
GUESS,3 on mixed hoop set  ,,,,,SAR 95.72,95.72
GUESS,6 on colored stone mixed ear set  ,,,,,SAR 125.73,125.73
GUESS,"6 on mixed ear set with studs, drops and hoops  ",,,,,SAR 125.62,125.62
GUESS,rainbow stone wide small hoop  ,,,,,SAR 125.66,125.66
GUESS,rainbow stone linear earring  ,,,,,SAR 119.44,119.44
GUESS,Ear bud drape ear cuff with heart drop  ,,,,,SAR 110.80,110.8
GUESS,Stone accented hoop  ,,,,,SAR 107.39,107.39
GUESS,Rainbow stone drop earring  ,,,,,SAR 166.90,166.9
GUESS,3 on mini hoop set  ,,,,,SAR 140.98,140.98
GUESS,9 on mixed ear set with studs and drops  ,,,,,SAR 126.11,126.11
GUESS,Ladies Earrings UBE70083  ,,,,,SAR 87.38,87.38
GUESS,Ladies Bracelet UBB20070-L  ,,,,,SAR 105.29,105.29
GUESS,Ladies Bracelet UBB70134-L  ,,,,,SAR 107.31,107.31
GUESS,Ladies Earrings UBE20112  ,,,,,SAR 130.81,130.81
GUESS,Ladies Bracelet UBB20068-L  ,,,,,SAR 125.94,125.94
GUESS,Ladies Earrings UBE20137  ,,,,,SAR 126.78,126.78
GUESS,Ladies Bracelet UBB20069-L  ,,,,,SAR 126.81,126.81
GUESS,Ladies Earrings UBE20090  ,,,,,SAR 126.81,126.81
GUESS,Ladies Earrings UBE20062  ,,,,,SAR 146.55,146.55
GUESS,Ladies Bracelet UBB70007-S  ,,,,,SAR 87.94,87.94
GUESS,Ladies Bracelet UBB20100-L  ,,,,,SAR 128.46,128.46
GUESS,Ladies Earrings UBE20138  ,,,,,SAR 126.78,126.78
GUESS,Ladies Earrings UBE20111  ,,,,,SAR 106.19,106.19
GUESS,Ladies Bracelet UBB20103-L  ,,,,,SAR 131.95,131.95
GUESS,Ladies Earrings UBE20063  ,,,,,SAR 146.49,146.49
GUESS,Ladies Bracelet UBB70072-L  ,,,,,SAR 107.25,107.25
GUESS,Ladies Earrings UBE20089  ,,,,,SAR 126.80,126.8
GUESS,Ladies Bracelet UBB20111-L  ,,,,,SAR 127.00,127
GUESS,Ladies Bracelet UBB20136-S  ,,,,,SAR 100.00,100
GUESS,Ladies Bracelet UBB20028-L  ,,,,,SAR 84.77,84.77
GUESS,Ladies Bracelet UBB20134-L  ,,,,,SAR 100.00,100
GUESS,Ladies Bracelet UBB20035-L  ,,,,,SAR 127.00,127
GUESS,Ladies Bracelet UBB20110-L  ,,,,,SAR 127.00,127
GUESS,Ladies Bracelet UBB20027-L  ,,,,,SAR 84.67,84.67
GUESS,Ladies Earrings UBE70041  ,,,,,SAR 103.00,103
GUESS,Earrings UBE79176  ,,,,,SAR 94.28,94.28
GUESS,Earrings UBE70221  ,,,,,SAR 131.00,131
GUESS,Earrings UBE70222  ,,,,,SAR 134.52,134.52
GUESS,Earrings UBE70043  ,,,,,SAR 73.51,73.51
GUESS,Earrings UBE70113  ,,,,,SAR 122.67,122.67
GUESS,Earrings UBE70114  ,,,,,SAR 131.00,131
GUESS,Ladies Necklace UBN85090  ,,,,,SAR 212.60,212.6
GUESS,Ladies Necklace UBN70059  ,,,,,SAR 183.00,183
GUESS,Ladies Bracelet UBB70122-S  ,,,,,SAR 97.04,97.04
GUESS,Ladies Bracelet UBB70057-L  ,,,,,SAR 76.97,76.97
GUESS,Ladies Bracelet UBB70058-L  ,,,,,SAR 103.00,103
GUESS,Ladies Bracelet UBB70088-S  ,,,,,SAR 118.25,118.25
GUESS,Ladies Bracelet UBB70121-S  ,,,,,SAR 88.53,88.53
GUESS,Ladies Bracelet UBB28119-S  ,,,,,SAR 128.29,128.29
GUESS,Ladies Bracelet UBB70124-S  ,,,,,SAR 74.39,74.39
GUESS,Ladies Bracelet UBB70086-L  ,,,,,SAR 94.59,94.59
GUESS,Ladies Bracelet UBB70129-S  ,,,,,SAR 105.69,105.69
GUESS,Ladies Bracelet UBB70005-L  ,,,,,SAR 96.21,96.21
GUESS,Ladies Necklace UBN79154  ,,,,,SAR 151.96,151.96
GUESS,Women's Ring UBR72517N52  ,,,,,,
GUESS,Ladies Bracelet UBB70036-L  ,,,,,SAR 96.26,96.26
GUESS,Multi layered Necklace  ,,,,,SAR 119.81,119.81
GUESS,Quatro G logo pendant necklace  ,5.0 out of 5 stars,5,2,2,SAR 108.33,108.33
GUESS,3 media bracelets  ,,,,,SAR 127.09,127.09
GUESS,3 media bracelets  ,,,,,SAR 83.31,83.31
GUESS,linear logo bar drop  ,,,,,SAR 98.57,98.57
GUESS,Butterfly linear earring  ,,,,,SAR 108.33,108.33
GUESS,Bow drop earring  ,,,,,SAR 80.68,80.68
GUESS,linear logo bar drop  ,,,,,SAR 98.01,98.01
GUESS,Logo post Hoop  ,,,,,SAR 100.86,100.86
GUESS,3 Media Bracelets  ,,,,,SAR 126.64,126.64
GUESS,3 media bracelets  ,5.0 out of 5 stars,5,1,1,SAR 126.71,126.71
GUESS,Multi layered Necklace  ,5.0 out of 5 stars,5,1,1,SAR 126.03,126.03
GUESS,3 Media Bracelets  ,,,,,SAR 127.23,127.23
GUESS,Linear Earring  ,,,,,SAR 103.30,103.3
GUESS,Quatro G Drop  ,3.0 out of 5 stars,3,1,1,SAR 100.15,100.15
GUESS,Museum Hoop  ,,,,,SAR 108.07,108.07
GUESS,Butterfly linear earring  ,5.0 out of 5 stars,5,1,1,SAR 106.60,106.6
GUESS,Quatro G Drop  ,3.8 out of 5 stars,3.8,3,3,SAR 98.16,98.16
GUESS,Stone ring drop Earring  ,,,,,SAR 119.50,119.5
GUESS,3 on mixed hoop set  ,,,,,SAR 121.50,121.5
GUESS,Logo post Hoop  ,,,,,SAR 102.51,102.51
GUESS,Wide Bypass Band with Faux Python  ,,,,,SAR 73.40,73.4
GUESS,Wide Bypass Band with Glitter Paper  ,,,,,SAR 73.03,73.03
GUESS,Braided knot necklace with tassel  ,,,,,SAR 101.01,101.01
GUESS,Wide half open hinge cuff with logo  ,,,,,SAR 105.03,105.03
GUESS,10 Piece Rhinestone Stretch Stack Bracelet  ,4.0 out of 5 stars,4,2,2,,
GUESS,Hinged Cuff with Scattered Stones  ,,,,,SAR 88.52,88.52
GUESS,round link chain with heart & logo charms  ,5.0 out of 5 stars,5,2,2,SAR 97.82,97.82
GUESS,3 piece mixed bangle set  ,,,,,SAR 75.77,75.77
GUESS,10 piece rhinestone stretch stack bracelet  ,,,,,SAR 83.98,83.98
GUESS,Trio hoop ear set  ,,,,,SAR 75.69,75.69
GUESS,large hoops and studs quad ear set  ,,,,,SAR 80.38,80.38
GUESS,textured endless wire hoop  ,1.0 out of 5 stars,1,1,1,SAR 49.14,49.14
GUESS,CZ stud with hoop duo  ,,,,,SAR 72.81,72.81
GUESS,textured endless wire hoop  ,,,,,SAR 80.50,80.5
GUESS,extra large thin band hoop  ,,,,,SAR 67.77,67.77
GUESS,extra large clutchless hoop  ,,,,,SAR 74.49,74.49
GUESS,extra large clutchless hoop  ,5.0 out of 5 stars,5,1,1,SAR 89.31,89.31
GUESS,Oval hoop with glitter paper inside  ,,,,,SAR 79.86,79.86
GUESS,Large clutchless hoop  ,,,,,SAR 69.72,69.72
GUESS,Pulsera UBB70058-S Mujer Acero Dorado  ,,,,,,
GUESS,My Feelings Ubn70045 Choker Stainless Steel Gold Plated Swarovski Star Logo Plate  ,4.5 out of 5 stars,4.5,2,2,SAR 135.43,135.43
GUESS,Women Stainless Steel Ring Size 12  ,,,,,SAR 165.64,165.64
GUESS,Ladies Necklace UBN70025  ,,,,,SAR 131.00,131
GUESS,Pulsera Dream and Love UBB70057-S Acero  ,,,,,SAR 165.64,165.64
GUESS,Women Stainless-Steel Bracelet  ,,,,,SAR 165.64,165.64
GUESS,Pulsera Logo UBB70022-S Acero Plateado  ,,,,,SAR 242.07,242.07
GUESS,Bracelet Guess Heart Romance Ubb70087-S Gold Plated Stainless Steel Balls Swarovski Heart Logo  ,,,,,SAR 237.78,237.78
GUESS,"Jewellery ""Guess is for lovers"" heart earrings with Swarovski  ",1.5 out of 5 stars,1.5,2,2,SAR 165.64,165.64
GUESS,women stainless-steel earrings  ,2.4 out of 5 stars,2.4,3,3,SAR 165.64,165.64
Swarovski,Women's Millenia White Rhodium Finish Dancing Crystal Necklace  ,,,,,SAR 494.82,494.82
GUESS,Logo heart button with chain fringe earring  ,,,,,SAR 108.63,108.63
GUESS,Hoop with flower detail  ,,,,,SAR 90.66,90.66
GUESS,pave disc and heart drop  ,5.0 out of 5 stars,5,1,1,SAR 74.48,74.48
GUESS,Large twisted cable double hoop  ,,,,,SAR 99.81,99.81
GUESS,large double hoop with stones  ,,,,,SAR 107.88,107.88
GUESS,Rhinestone and mesh drop earring  ,,,,,SAR 110.02,110.02
GUESS,Linear ear with stones  ,,,,,SAR 52.44,52.44
GUESS,pave disc and heart drop  ,,,,,SAR 108.71,108.71
GUESS,Braided top linear chain ear  ,,,,,SAR 104.91,104.91
GUESS,Large twisted cable double hoop  ,,,,,SAR 98.65,98.65
GUESS,6 on mixed dainty ear set  ,,,,,SAR 119.92,119.92
GUESS,Quatro G Drop  ,3.0 out of 5 stars,3,1,1,SAR 100.15,100.15
GUESS,Museum Hoop  ,,,,,SAR 108.07,108.07
GUESS,Butterfly linear earring  ,5.0 out of 5 stars,5,1,1,SAR 106.60,106.6
GUESS,Quatro G Drop  ,3.8 out of 5 stars,3.8,3,3,SAR 98.16,98.16
GUESS,Stone ring drop Earring  ,,,,,SAR 119.50,119.5
GUESS,3 on mixed hoop set  ,,,,,SAR 121.50,121.5
GUESS,Logo post Hoop  ,,,,,SAR 102.51,102.51
GUESS,Wide Bypass Band with Faux Python  ,,,,,SAR 73.40,73.4
GUESS,Wide Bypass Band with Glitter Paper  ,,,,,SAR 73.03,73.03
GUESS,Braided knot necklace with tassel  ,,,,,SAR 101.01,101.01
GUESS,Wide half open hinge cuff with logo  ,,,,,SAR 105.03,105.03
GUESS,10 Piece Rhinestone Stretch Stack Bracelet  ,4.0 out of 5 stars,4,2,2,,
GUESS,Hinged Cuff with Scattered Stones  ,,,,,SAR 88.52,88.52
GUESS,round link chain with heart & logo charms  ,5.0 out of 5 stars,5,2,2,SAR 97.82,97.82
GUESS,3 piece mixed bangle set  ,,,,,SAR 75.77,75.77
GUESS,10 piece rhinestone stretch stack bracelet  ,,,,,SAR 83.98,83.98
GUESS,Trio hoop ear set  ,,,,,SAR 75.69,75.69
GUESS,large hoops and studs quad ear set  ,,,,,SAR 80.38,80.38
GUESS,textured endless wire hoop  ,1.0 out of 5 stars,1,1,1,SAR 49.14,49.14
GUESS,CZ stud with hoop duo  ,,,,,SAR 72.81,72.81
GUESS,textured endless wire hoop  ,,,,,SAR 80.50,80.5
GUESS,extra large thin band hoop  ,,,,,SAR 67.77,67.77
GUESS,extra large clutchless hoop  ,,,,,SAR 74.49,74.49
GUESS,extra large clutchless hoop  ,5.0 out of 5 stars,5,1,1,SAR 89.31,89.31
GUESS,Oval hoop with glitter paper inside  ,,,,,SAR 79.86,79.86
GUESS,Large clutchless hoop  ,,,,,SAR 69.72,69.72
GUESS,Pulsera UBB70058-S Mujer Acero Dorado  ,,,,,,
GUESS,My Feelings Ubn70045 Choker Stainless Steel Gold Plated Swarovski Star Logo Plate  ,4.5 out of 5 stars,4.5,2,2,SAR 135.43,135.43
GUESS,Women Stainless Steel Ring Size 12  ,,,,,SAR 165.64,165.64
GUESS,Ladies Necklace UBN70025  ,,,,,SAR 131.00,131
GUESS,Pulsera Dream and Love UBB70057-S Acero  ,,,,,SAR 165.64,165.64
GUESS,Women Stainless-Steel Bracelet  ,,,,,SAR 165.64,165.64
GUESS,Pulsera Logo UBB70022-S Acero Plateado  ,,,,,SAR 242.07,242.07
GUESS,Bracelet Guess Heart Romance Ubb70087-S Gold Plated Stainless Steel Balls Swarovski Heart Logo  ,,,,,SAR 237.78,237.78
GUESS,"Jewellery ""Guess is for lovers"" heart earrings with Swarovski  ",1.5 out of 5 stars,1.5,2,2,SAR 165.64,165.64
GUESS,women stainless-steel earrings  ,2.4 out of 5 stars,2.4,3,3,SAR 165.64,165.64
Swarovski,Women's Millenia White Rhodium Finish Dancing Crystal Necklace  ,,,,,SAR 494.82,494.82
GUESS,Logo heart button with chain fringe earring  ,,,,,SAR 108.63,108.63
GUESS,Hoop with flower detail  ,,,,,SAR 90.66,90.66
GUESS,pave disc and heart drop  ,5.0 out of 5 stars,5,1,1,SAR 74.48,74.48
GUESS,Large twisted cable double hoop  ,,,,,SAR 99.81,99.81
GUESS,large double hoop with stones  ,,,,,SAR 107.88,107.88
GUESS,Rhinestone and mesh drop earring  ,,,,,SAR 110.02,110.02
GUESS,Linear ear with stones  ,,,,,SAR 52.44,52.44
GUESS,pave disc and heart drop  ,,,,,SAR 108.71,108.71
GUESS,Braided top linear chain ear  ,,,,,SAR 104.91,104.91
GUESS,Large twisted cable double hoop  ,,,,,SAR 98.65,98.65
GUESS,6 on mixed dainty ear set  ,,,,,SAR 119.92,119.92
GUESS,Hoop with rhinestone fringe  ,,,,,SAR 102.48,102.48
GUESS,Charmy doorknocker earring  ,3.7 out of 5 stars,3.7,3,3,SAR 100.64,100.64
GUESS,Bead Statement earring  ,,,,,SAR 97.56,97.56
GUESS,Large twist hoop  ,,,,,SAR 82.70,82.7
GUESS,Chandelier stone earring  ,,,,,SAR 101.13,101.13
GUESS,Chandelier stone earring  ,,,,,SAR 97.86,97.86
GUESS,Hoop with rhinestone fringe  ,,,,,SAR 105.18,105.18
GUESS,Stone linear earring  ,5.0 out of 5 stars,5,3,3,SAR 99.81,99.81
GUESS,flower drop linear earring  ,,,,,SAR 105.40,105.4
GUESS,mixed ear set  ,4.0 out of 5 stars,4,2,2,SAR 120.52,120.52
GUESS,multi colored rhinestone chain earring  ,4.0 out of 5 stars,4,1,1,SAR 102.59,102.59
GUESS,Ladies Bracelet UBB20134-S  ,,,,,SAR 84.69,84.69
GUESS,"Womens Non-Precious Metal Earrings Love Butterfly - UBE78014, Color Gold  ",,,,,SAR 140.77,140.77
GUESS,Ladies Earrings UBE20059  ,,,,,SAR 106.18,106.18
GUESS,Ladies Earrings UBE20058  ,,,,,SAR 127.00,127
GUESS,COCKTAIL AND BAND RING DUO  ,,,,,SAR 87.62,87.62
GUESS,LINEAR EARRING WITH STONE HEART DROP  ,1.0 out of 5 stars,1,1,1,SAR 96.74,96.74
GUESS,FRONT HOOP EARRING  ,3.5 out of 5 stars,3.5,2,2,SAR 95.98,95.98
GUESS,BUTTERFLY PAVE HOOP  ,,,,,SAR 52.66,52.66
GUESS,LINEAR EARRING WITH STONE HEART DROP  ,1.0 out of 5 stars,1,1,1,SAR 98.69,98.69
GUESS,BUTTERFLY PAVE HOOP  ,,,,,SAR 75.76,75.76
GUESS,HOOP WITH BUTTERFLIES  ,,,,,SAR 80.65,80.65
GUESS,BUTTERFLY CLICK TOP EAR  ,,,,,SAR 67.17,67.17
GUESS,BUTTERFLY CLICK TOP EAR  ,,,,,SAR 67.17,67.17
GUESS,MUSEUM HOOP WIT STONE HEART DROP  ,5.0 out of 5 stars,5,2,2,SAR 89.35,89.35
GUESS,MUSEUM HOOP WIT STONE HEART DROP  ,,,,,SAR 89.57,89.57
GUESS,LINEAR EARRING WITH STONE HEART DROP  ,,,,,SAR 99.06,99.06
GUESS,MUSEUM HOOP WIT STONE HEART DROP  ,5.0 out of 5 stars,5,1,1,SAR 87.62,87.62
GUESS,MULTI COLORED THREE RING STACKER  ,,,,,SAR 90.29,90.29
GUESS,collar neck with stones  ,5.0 out of 5 stars,5,1,1,SAR 127.19,127.19
GUESS,line bracelet with stone heart  ,5.0 out of 5 stars,5,1,1,SAR 97.60,97.6
GUESS,short heart pendant necklace  ,1.0 out of 5 stars,1,1,1,SAR 92.87,92.87
GUESS,line bracelet with stone heart  ,,,,,SAR 99.10,99.1
GUESS,short heart pendant necklace  ,,,,,SAR 109.71,109.71
GUESS,line bracelet with stone heart  ,,,,,SAR 99.89,99.89
GUESS,Heart necklace  ,2.0 out of 5 stars,2,1,1,SAR 120.67,120.67
GUESS,Ladies Earrings UBE20061  ,1.0 out of 5 stars,1,1,1,SAR 178.00,178
GUESS,Women's Necklace UBN20104  ,,,,,SAR 136.63,136.63
GUESS,Ladies Earrings UBE20114  ,,,,,SAR 185.17,185.17
GUESS,Ladies Earrings UBE20026  ,4.5 out of 5 stars,4.5,2,2,SAR 205.00,205
GUESS,Ladies Earrings UBE20027  ,5.0 out of 5 stars,5,2,2,SAR 205.00,205
GUESS,Ladies Earrings UBE20113  ,,,,,SAR 178.00,178
Swarovski,Treasure Pearls Necklace White Pearl One Size  ,4.6 out of 5 stars,4.6,3,3,SAR 386.23,386.23
Swarovski,"Authentic The Elements Necklace, Blue, Mixed Metal Plating  ",,,,,SAR 563.43,563.43
Swarovski,"Authentic The Elements Bracelet, Red, Gold Plated, Medium  ",,,,,SAR 589.31,589.31
GUESS,Women's Bracelet UBB21207N  ,,,,,,
Swarovski,Treasure Pearl Pierced Earrings White Pearl One Size  ,5.0 out of 5 stars,5,3,3,SAR 308.74,308.74
Swarovski,Sparkling Dance Dial Up Necklace  ,5.0 out of 5 stars,5,2,2,"SAR 1,231.77",1231.77
Swarovski,Tennis Deluxe Mixed Strandage Necklace Silver One Size  ,,,,,SAR 784.70,784.7
Swarovski,"Magic Bracelet, White, Rose-gold tone plated  ",,,,,SAR 395.27,395.27
Swarovski,Sparkling Dance Dial Up Necklace Silver One Size  ,,,,,SAR 654.18,654.18
Swarovski,"Women's Magic Jewelry Collection, Clear Crystals  ",4.0 out of 5 stars,4,1,1,SAR 395.27,395.27
Swarovski,T Bar Y-Necklace Black One Size  ,,,,,SAR 593.74,593.74
Swarovski,Vittore Wide Ring Silver 7  ,3.9 out of 5 stars,3.9,6,6,,
Swarovski,Time Pendant Necklace Gold One Size  ,5.0 out of 5 stars,5,2,2,SAR 563.35,563.35
Swarovski,Tahlia Ring Green 7  ,5.0 out of 5 stars,5,3,3,SAR 291.56,291.56
Swarovski,Time Bracelet Gold One Size  ,3.1 out of 5 stars,3.1,3,3,SAR 503.08,503.08
Swarovski,Tahlia Ring  ,3.7 out of 5 stars,3.7,7,7,SAR 231.14,231.14
Swarovski,Cube Rhodium Plated Crystal Band Ring - Size 17.3 mm  ,,,,,SAR 585.34,585.34
Swarovski,Stainless Steel Drop & Dangle Earrings  ,,,,,SAR 537.87,537.87
Swarovski,Rose Gold Plated Dangle Earring - 5279778  ,,,,,SAR 454.57,454.57
Swarovski,"Vittore Ring, Pear-Shaped White Crystal Stones on a Rhodium Plated Setting, Size 7  ",4.4 out of 5 stars,4.4,42,42,,
Swarovski,"Women's Attract Pear Jewelry Collection, Rhodium Finish, Clear Crystals  ",4.8 out of 5 stars,4.8,130,130,SAR 265.70,265.7
Swarovski,"Women's All Zodiac Symbols Crystal Pendant, Mixed Metal Finish, Clear White Crystal Necklace Jewelry Collection  ",4.4 out of 5 stars,4.4,268,268,SAR 330.23,330.23
Swarovski,Women's Tahlia Collection Earrings  ,4.4 out of 5 stars,4.4,79,79,SAR 450.56,450.56
Swarovski,"Women's Ginger Jewelry Collection, Rose Gold Tone Finish, Clear Crystals  ",4.3 out of 5 stars,4.3,46,46,SAR 516.24,516.24
Swarovski,"Women's Tennis Deluxe Jewelry Collection, Rhodium Finish, Rose Gold Tone Finish, Clear Crystals  ",4.5 out of 5 stars,4.5,110,110,SAR 340.11,340.11
Swarovski,"Women's Subtle Bracelet Jewelry Collection, Clear Crystals, One size, Crystal, Cubic Zirconia,  ",4.8 out of 5 stars,4.8,30,30,SAR 494.34,494.34
Swarovski,"Women's Tennis Bracelet and Earring Collection, Rhodium Finish, Clear Crystals  ",4.4 out of 5 stars,4.4,435,435,SAR 218.27,218.27
Swarovski,"Women's Attract Pear Jewelry Collection, Rhodium Finish, Clear Crystals  ",4.8 out of 5 stars,4.8,45,45,SAR 317.29,317.29
Swarovski,"Women's Angelic Bracelet and Necklace Jewelry Collection, Rhodium Tone Finish, Clear Crystals  ",4.7 out of 5 stars,4.7,187,187,SAR 395.27,395.27
Swarovski,Tennis Deluxe Women's Cluster Stud Pierced Earrings with Dangling Gray Crystal Drop Accents and White Crystals in a Rhodium Plated Setting  ,4.7 out of 5 stars,4.7,75,75,,
Swarovski,Necklace Filled with Stones for Women  ,,,,,SAR 449.00,449
Swarovski,"Women Metal and Crystals Bangle, 4.5 inch - 5032848  ",,,,,SAR 470.63,470.63
Swarovski,"Authentic So Cool Crystal Pearl Charm Necklace, White Crystal, Mixed Plated  ",5.0 out of 5 stars,5,1,1,SAR 650.09,650.09
GUESS,Women's Earrings Selver UBE11201  ,,,,,,
Swarovski,Cuff Earring - 5408225  ,,,,,SAR 392.17,392.17
Swarovski,Magnetic Spider Mixed Plating Earrings 5429953  ,,,,,SAR 273.00,273
Swarovski,Crystal So Cool Cluster Rhodium-Plated Pendant Necklace  ,,,,,SAR 373.25,373.25
GUESS,Ladies Necklace UBN79152  ,,,,,SAR 183.00,183
GUESS,"Womens Stainless Steel Fashion Bracelet - UBN79040, Color Gold, Size 7.87 inches  ",,,,,SAR 85.76,85.76
GUESS,Women's Necklace UBN71262N  ,,,,,,
Swarovski,Women's Rhodium Plated Crystal Pendant Necklace - 5117700  ,,,,,SAR 474.02,474.02
Swarovski,"Women's Palladium Plated Metal Crystal Statement Necklace, 38 cm - 5190040  ",,,,,"SAR 1,117.20",1117.2
Swarovski,"Women's Rhodium Plated Crystal Statement Necklace, 40 cm - 5182020  ",,,,,"SAR 1,230.08",1230.08
Swarovski,Rhodium-Plated Love Earrings 5391764  ,,,,,,
Swarovski,Crystal Slake Fuchsia Ruby Bracelet-Dark Green  ,,,,,SAR 230.00,230
